"no_edits","week_diff"
38164,-51
15748,8
21412,-23
20184,16
30762,-11
14396,54
20519,-19
25340,-38
14102,47
25261,-34
23187,-5
28967,-9
19211,46
12428,48
18772,28
13195,36
25331,15
29662,4
12322,30
15726,-66
23244,-28
14398,40
14481,56
11064,53
21488,-45
19073,-46
12188,62
25885,-35
23760,23
44926,-42
34379,20
15042,44
23435,-39
20906,-33
28608,25
23291,58
34943,1
22336,-48
30372,26
23188,-59
34773,-1
32947,-47
28059,-4
18678,-55
25332,-37
27969,13
8228,49
30048,22
22510,-43
33254,-6
18951,45
24661,27
27386,-26
21236,-40
14444,60
34888,-64
28328,21
23652,-57
40762,-63
23806,-17
17973,5
24551,-21
27794,-65
31911,-3
26631,-2
14770,43
16936,11
68953,-52
21036,-31
49074,-41
15662,39
30022,-53
33458,-12
28262,3
25129,-8
23270,-32
21702,-18
11067,61
23460,-54
25683,14
29779,17
27191,-10
534,66
20205,-49
7963,50
24599,-22
106128,0
14361,33
28148,19
11668,57
7828,51
14531,31
12530,65
16416,35
8206,52
25353,-27
19167,37
11171,34
16182,32
20582,12
23089,-30
13662,10
17050,42
27044,-58
21196,-15
21420,18
22716,-16
29134,-61
10233,59
18403,-29
27343,-20
15254,63
20855,-44
16041,9
26702,24
13116,64
8424,55
22473,-14
22968,-56
32009,-13
17302,38
30367,6
21416,-50
25231,-24
22801,-25
18545,29
30657,2
25293,-36
15088,41
24936,-62
24595,-60
31999,7
22453,-7
