"no_edits","week_diff","namespace"
3,-66,"12"
380,-66,"3"
59,-66,"6"
511,-66,"2"
135,-66,"10"
2,-66,"100"
13332,-66,"0"
8,-66,"102"
826,-66,"14"
139,-66,"1"
329,-66,"4"
2,-66,"5"
1562,-65,"4"
862,-65,"14"
424,-65,"1"
5,-65,"15"
15,-65,"5"
21758,-65,"0"
1,-65,"828"
8,-65,"100"
581,-65,"10"
19,-65,"102"
81,-65,"6"
5,-65,"8"
4,-65,"103"
1030,-65,"2"
5,-65,"11"
5,-65,"12"
1429,-65,"3"
125,-64,"6"
735,-64,"2"
8,-64,"11"
16,-64,"12"
1576,-64,"3"
1085,-64,"4"
291,-64,"1"
1415,-64,"14"
2,-64,"15"
29,-64,"5"
17,-64,"100"
29115,-64,"0"
2,-64,"101"
451,-64,"10"
21,-64,"102"
3,-63,"15"
17,-63,"5"
1747,-63,"4"
2392,-63,"1"
1351,-63,"14"
23,-63,"102"
14,-63,"100"
31502,-63,"0"
2,-63,"101"
481,-63,"10"
6,-63,"8"
1463,-63,"2"
1,-63,"103"
191,-63,"6"
1546,-63,"3"
1,-63,"9"
7,-63,"11"
15,-63,"12"
109,-62,"6"
2,-62,"8"
804,-62,"2"
4,-62,"11"
9,-62,"12"
1,-62,"7"
1,-62,"9"
1180,-62,"3"
824,-62,"4"
437,-62,"1"
1493,-62,"14"
13,-62,"15"
21,-62,"5"
19745,-62,"0"
8,-62,"100"
278,-62,"10"
7,-62,"102"
231,-61,"6"
3,-61,"103"
890,-61,"2"
1,-61,"11"
10,-61,"12"
1104,-61,"3"
928,-61,"4"
330,-61,"1"
2428,-61,"14"
12,-61,"15"
12,-61,"5"
22671,-61,"0"
29,-61,"100"
2,-61,"101"
459,-61,"10"
24,-61,"102"
112,-60,"6"
35,-60,"103"
1047,-60,"2"
9,-60,"8"
11,-60,"12"
8,-60,"11"
1595,-60,"3"
535,-60,"1"
2098,-60,"14"
1314,-60,"4"
19,-60,"5"
14,-60,"15"
334,-60,"10"
33,-60,"100"
17382,-60,"0"
49,-60,"102"
774,-59,"2"
10,-59,"103"
1,-59,"8"
80,-59,"6"
1522,-59,"3"
2,-59,"13"
8,-59,"12"
8,-59,"5"
1,-59,"15"
442,-59,"1"
732,-59,"14"
1236,-59,"4"
95,-59,"102"
329,-59,"10"
17909,-59,"0"
39,-59,"100"
1,-58,"11"
8,-58,"12"
1779,-58,"3"
107,-58,"6"
3,-58,"103"
939,-58,"2"
6,-58,"100"
20080,-58,"0"
2,-58,"101"
494,-58,"10"
77,-58,"102"
1030,-58,"4"
388,-58,"1"
2080,-58,"14"
27,-58,"15"
23,-58,"5"
84,-57,"6"
818,-57,"2"
1,-57,"103"
9,-57,"11"
13,-57,"12"
2,-57,"13"
1669,-57,"3"
981,-57,"4"
668,-57,"1"
922,-57,"14"
23,-57,"5"
79,-57,"100"
3,-57,"828"
17951,-57,"0"
366,-57,"10"
63,-57,"102"
12,-56,"100"
18394,-56,"0"
2,-56,"101"
676,-56,"10"
55,-56,"102"
785,-56,"4"
332,-56,"1"
1016,-56,"14"
1,-56,"15"
16,-56,"5"
2,-56,"11"
4,-56,"12"
4,-56,"13"
1064,-56,"3"
67,-56,"6"
3,-56,"103"
535,-56,"2"
76,-55,"6"
375,-55,"2"
4,-55,"12"
1,-55,"11"
1017,-55,"3"
308,-55,"1"
1108,-55,"14"
898,-55,"4"
26,-55,"5"
2,-55,"15"
263,-55,"10"
7,-55,"100"
1,-55,"828"
14585,-55,"0"
7,-55,"102"
27,-54,"102"
1475,-54,"10"
7,-54,"100"
17869,-54,"0"
1,-54,"828"
37,-54,"5"
17,-54,"15"
1184,-54,"14"
398,-54,"1"
858,-54,"4"
1048,-54,"3"
1,-54,"7"
2,-54,"12"
10,-54,"11"
3,-54,"103"
467,-54,"2"
56,-54,"6"
1087,-53,"3"
8,-53,"11"
2,-53,"13"
1,-53,"8"
437,-53,"2"
62,-53,"6"
64,-53,"102"
25099,-53,"0"
1,-53,"828"
7,-53,"100"
1304,-53,"10"
3,-53,"15"
24,-53,"5"
766,-53,"4"
774,-53,"14"
383,-53,"1"
1138,-52,"3"
3,-52,"7"
1,-52,"13"
4,-52,"12"
13,-52,"11"
9,-52,"103"
579,-52,"2"
1,-52,"8"
118,-52,"6"
43,-52,"102"
455,-52,"10"
64088,-52,"0"
2,-52,"828"
39,-52,"100"
44,-52,"5"
4,-52,"15"
981,-52,"14"
568,-52,"1"
863,-52,"4"
3,-51,"8"
599,-51,"2"
11,-51,"103"
116,-51,"6"
4355,-51,"3"
5,-51,"11"
6,-51,"12"
7,-51,"15"
15,-51,"5"
629,-51,"4"
929,-51,"14"
363,-51,"1"
50,-51,"102"
30087,-51,"0"
40,-51,"100"
949,-51,"10"
2,-50,"12"
