"no_users","week_diff","namespace"
1393,-66,"0"
51,-66,"1"
38,-66,"10"
2,-66,"100"
5,-66,"102"
3,-66,"12"
33,-66,"14"
84,-66,"2"
88,-66,"3"
73,-66,"4"
2,-66,"5"
24,-66,"6"
3052,-65,"0"
109,-65,"1"
85,-65,"10"
6,-65,"100"
8,-65,"102"
3,-65,"103"
4,-65,"11"
4,-65,"12"
60,-65,"14"
1,-65,"15"
149,-65,"2"
181,-65,"3"
149,-65,"4"
10,-65,"5"
33,-65,"6"
1,-65,"8"
1,-65,"828"
3209,-64,"0"
91,-64,"1"
115,-64,"10"
5,-64,"100"
1,-64,"101"
10,-64,"102"
5,-64,"11"
11,-64,"12"
74,-64,"14"
2,-64,"15"
135,-64,"2"
180,-64,"3"
155,-64,"4"
16,-64,"5"
31,-64,"6"
2978,-63,"0"
101,-63,"1"
97,-63,"10"
3,-63,"100"
2,-63,"101"
10,-63,"102"
1,-63,"103"
3,-63,"11"
8,-63,"12"
70,-63,"14"
3,-63,"15"
174,-63,"2"
174,-63,"3"
160,-63,"4"
15,-63,"5"
29,-63,"6"
1,-63,"8"
1,-63,"9"
2910,-62,"0"
98,-62,"1"
76,-62,"10"
3,-62,"100"
5,-62,"102"
3,-62,"11"
8,-62,"12"
53,-62,"14"
8,-62,"15"
174,-62,"2"
145,-62,"3"
189,-62,"4"
10,-62,"5"
29,-62,"6"
1,-62,"7"
1,-62,"8"
1,-62,"9"
2932,-61,"0"
86,-61,"1"
78,-61,"10"
6,-61,"100"
1,-61,"101"
10,-61,"102"
2,-61,"103"
1,-61,"11"
10,-61,"12"
55,-61,"14"
1,-61,"15"
163,-61,"2"
135,-61,"3"
168,-61,"4"
9,-61,"5"
27,-61,"6"
2938,-60,"0"
95,-60,"1"
83,-60,"10"
10,-60,"100"
11,-60,"102"
10,-60,"103"
5,-60,"11"
10,-60,"12"
62,-60,"14"
5,-60,"15"
169,-60,"2"
176,-60,"3"
159,-60,"4"
14,-60,"5"
33,-60,"6"
2,-60,"8"
2898,-59,"0"
87,-59,"1"
79,-59,"10"
15,-59,"100"
10,-59,"102"
5,-59,"103"
5,-59,"12"
2,-59,"13"
58,-59,"14"
1,-59,"15"
150,-59,"2"
159,-59,"3"
160,-59,"4"
7,-59,"5"
23,-59,"6"
1,-59,"8"
3244,-58,"0"
93,-58,"1"
93,-58,"10"
4,-58,"100"
1,-58,"101"
10,-58,"102"
2,-58,"103"
1,-58,"11"
6,-58,"12"
65,-58,"14"
5,-58,"15"
161,-58,"2"
173,-58,"3"
147,-58,"4"
15,-58,"5"
30,-58,"6"
2951,-57,"0"
102,-57,"1"
77,-57,"10"
14,-57,"100"
7,-57,"102"
1,-57,"103"
6,-57,"11"
12,-57,"12"
2,-57,"13"
58,-57,"14"
156,-57,"2"
169,-57,"3"
134,-57,"4"
13,-57,"5"
21,-57,"6"
1,-57,"828"
2645,-56,"0"
79,-56,"1"
69,-56,"10"
7,-56,"100"
2,-56,"101"
10,-56,"102"
2,-56,"103"
1,-56,"11"
4,-56,"12"
3,-56,"13"
49,-56,"14"
1,-56,"15"
158,-56,"2"
124,-56,"3"
131,-56,"4"
13,-56,"5"
18,-56,"6"
2842,-55,"0"
77,-55,"1"
67,-55,"10"
4,-55,"100"
2,-55,"102"
1,-55,"11"
4,-55,"12"
39,-55,"14"
1,-55,"15"
119,-55,"2"
139,-55,"3"
136,-55,"4"
20,-55,"5"
23,-55,"6"
1,-55,"828"
2790,-54,"0"
93,-54,"1"
70,-54,"10"
4,-54,"100"
7,-54,"102"
2,-54,"103"
5,-54,"11"
2,-54,"12"
61,-54,"14"
6,-54,"15"
135,-54,"2"
158,-54,"3"
120,-54,"4"
24,-54,"5"
26,-54,"6"
1,-54,"7"
1,-54,"828"
2751,-53,"0"
86,-53,"1"
72,-53,"10"
5,-53,"100"
8,-53,"102"
4,-53,"11"
2,-53,"13"
55,-53,"14"
2,-53,"15"
108,-53,"2"
145,-53,"3"
139,-53,"4"
15,-53,"5"
29,-53,"6"
1,-53,"8"
1,-53,"828"
2825,-52,"0"
97,-52,"1"
68,-52,"10"
7,-52,"100"
13,-52,"102"
2,-52,"103"
5,-52,"11"
3,-52,"12"
1,-52,"13"
49,-52,"14"
4,-52,"15"
141,-52,"2"
142,-52,"3"
114,-52,"4"
17,-52,"5"
35,-52,"6"
2,-52,"7"
1,-52,"8"
2,-52,"828"
2695,-51,"0"
78,-51,"1"
80,-51,"10"
10,-51,"100"
17,-51,"102"
1,-51,"103"
4,-51,"11"
6,-51,"12"
51,-51,"14"
3,-51,"15"
133,-51,"2"
121,-51,"3"
123,-51,"4"
9,-51,"5"
32,-51,"6"
2,-51,"8"
2724,-50,"0"
73,-50,"1"
88,-50,"10"
8,-50,"100"
7,-50,"102"
1,-50,"103"
4,-50,"11"
2,-50,"12"
44,-50,"14"
1,-50,"15"
105,-50,"2"
131,-50,"3"
117,-50,"4"
7,-50,"5"
22,-50,"6"
1,-50,"8"
2753,-49,"0"
82,-49,"1"
78,-49,"10"
8,-49,"100"
6,-49,"102"
2,-49,"11"
1,-49,"12"
43,-49,"14"
2,-49,"15"
137,-49,"2"
142,-49,"3"
126,-49,"4"
4,-49,"5"
29,-49,"6"
2695,-48,"0"
75,-48,"1"
90,-48,"10"
11,-48,"100"
9,-48,"102"
2,-48,"103"
1,-48,"11"
2,-48,"12"
3,-48,"13"
53,-48,"14"
2,-48,"15"
144,-48,"2"
122,-48,"3"
135,-48,"4"
4,-48,"5"
23,-48,"6"
2,-48,"828"
2317,-47,"0"
81,-47,"1"
85,-47,"10"
3,-47,"100"
7,-47,"102"
2,-47,"103"
2,-47,"11"
8,-47,"12"
2,-47,"13"
57,-47,"14"
5,-47,"15"
122,-47,"2"
154,-47,"3"
150,-47,"4"
5,-47,"5"
32,-47,"6"
2317,-46,"0"
76,-46,"1"
83,-46,"10"
6,-46,"100"
2,-46,"101"
6,-46,"102"
1,-46,"103"
6,-46,"12"
54,-46,"14"
1,-46,"15"
122,-46,"2"
143,-46,"3"
140,-46,"4"
