"no_users","week_diff"
1514,-66
3317,-65
3441,-64
3248,-63
3210,-62
3208,-61
3232,-60
3160,-59
3516,-58
3230,-57
2892,-56
3064,-55
3014,-54
2979,-53
3046,-52
2903,-51
2913,-50
2947,-49
2893,-48
2562,-47
2531,-46
2567,-45
2812,-44
2602,-43
2457,-42
2530,-41
2604,-40
2766,-39
2837,-38
2554,-37
2541,-36
2929,-35
2499,-34
2177,-33
2202,-32
2154,-31
2286,-30
2340,-29
2297,-28
2420,-27
2391,-26
2558,-25
2539,-24
2531,-23
2496,-22
2446,-21
2734,-20
2929,-19
2930,-18
2886,-17
2768,-16
2399,-15
2411,-14
2395,-13
2416,-12
2663,-11
2697,-10
2958,-9
2805,-8
2852,-7
2759,-6
2742,-5
2725,-4
2723,-3
2646,-2
2701,-1
2103,0
809,1
770,2
652,3
572,4
545,5
512,6
549,7
545,8
521,9
553,10
509,11
574,12
541,13
569,14
481,15
507,16
512,17
510,18
555,19
517,20
508,21
477,22
473,23
490,24
530,25
542,26
489,27
541,28
531,29
498,30
459,31
531,32
540,33
534,34
622,35
507,36
469,37
563,38
502,39
497,40
503,41
566,42
596,43
488,44
469,45
505,46
472,47
480,48
471,49
449,50
456,51
456,52
425,53
441,54
463,55
490,56
537,57
524,58
424,59
412,60
451,61
485,62
477,63
425,64
373,65
71,66
