"week_diff","time_stamp"
-66,"2016-01-25"
-65,"2016-02-01"
-64,"2016-02-08"
-63,"2016-02-15"
-62,"2016-02-22"
-61,"2016-02-29"
-60,"2016-03-07"
-59,"2016-03-14"
-58,"2016-03-21"
-57,"2016-03-28"
-56,"2016-04-04"
-55,"2016-04-11"
-54,"2016-04-18"
-53,"2016-04-25"
-52,"2016-05-02"
-51,"2016-05-09"
-50,"2016-05-16"
-49,"2016-05-23"
-48,"2016-05-30"
-47,"2016-06-06"
-46,"2016-06-13"
-45,"2016-06-20"
-44,"2016-06-27"
-43,"2016-07-04"
-42,"2016-07-11"
-41,"2016-07-18"
-40,"2016-07-25"
-39,"2016-08-01"
-38,"2016-08-08"
-37,"2016-08-15"
-36,"2016-08-22"
-35,"2016-08-29"
-34,"2016-09-05"
-33,"2016-09-12"
-32,"2016-09-19"
-31,"2016-09-26"
-30,"2016-10-03"
-29,"2016-10-10"
-28,"2016-10-17"
-27,"2016-10-24"
-26,"2016-10-31"
-25,"2016-11-07"
-24,"2016-11-14"
-23,"2016-11-21"
-22,"2016-11-28"
-21,"2016-12-05"
-20,"2016-12-12"
-19,"2016-12-19"
-18,"2016-12-26"
-17,"2017-01-02"
-16,"2017-01-10"
-15,"2017-01-16"
-14,"2017-01-23"
-13,"2017-01-30"
-12,"2017-02-06"
-11,"2017-02-13"
-10,"2017-02-20"
-9,"2017-02-27"
-8,"2017-03-06"
-7,"2017-03-13"
-6,"2017-03-20"
-5,"2017-03-27"
-4,"2017-04-03"
-3,"2017-04-10"
-2,"2017-04-17"
-1,"2017-04-24"
0,"2017-05-02"
1,"2017-05-09"
2,"2017-05-16"
3,"2017-05-23"
4,"2017-05-30"
5,"2017-06-06"
6,"2017-06-13"
7,"2017-06-20"
8,"2017-06-27"
9,"2017-07-04"
10,"2017-07-11"
11,"2017-07-18"
12,"2017-07-25"
13,"2017-08-01"
14,"2017-08-08"
15,"2017-08-15"
16,"2017-08-22"
17,"2017-08-29"
18,"2017-09-05"
19,"2017-09-12"
20,"2017-09-19"
21,"2017-09-26"
22,"2017-10-03"
23,"2017-10-10"
24,"2017-10-17"
25,"2017-10-24"
26,"2017-10-31"
27,"2017-11-07"
28,"2017-11-14"
29,"2017-11-21"
30,"2017-11-28"
31,"2017-12-05"
32,"2017-12-12"
33,"2017-12-19"
34,"2017-12-26"
35,"2018-01-02"
36,"2018-01-09"
37,"2018-01-16"
38,"2018-01-23"
39,"2018-01-30"
40,"2018-02-06"
41,"2018-02-13"
42,"2018-02-20"
43,"2018-02-27"
44,"2018-03-06"
45,"2018-03-13"
46,"2018-03-20"
47,"2018-03-27"
48,"2018-04-03"
49,"2018-04-10"
50,"2018-04-17"
51,"2018-04-24"
52,"2018-05-01"
53,"2018-05-08"
54,"2018-05-15"
55,"2018-05-22"
56,"2018-05-29"
57,"2018-06-05"
58,"2018-06-12"
59,"2018-06-19"
60,"2018-06-26"
61,"2018-07-03"
62,"2018-07-10"
63,"2018-07-17"
64,"2018-07-24"
65,"2018-07-31"
66,"2018-08-01"
